City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
499,east wenatchee bench,47.4257,-120.2812,6.43,89,100,1.34,US,1675565042
500,bartica,6.4,-58.6167,21.45,99,95,1.0,GY,1675565043
501,kiboga,0.9161,31.7742,17.63,51,67,0.51,UG,1675565044
502,quatre cocos,-20.2078,57.7625,26.06,83,83,3.6,MU,1675565046
503,jaru,-10.4389,-62.4664,22.36,99,100,0.71,BR,1675565047
504,chipinge,-20.1883,32.6236,16.78,89,99,0.5,ZW,1675565048
505,san carlos,9.6612,-68.5827,24.57,70,35,1.43,VE,1675565049
506,tutayev,57.8853,39.5406,-8.2,97,100,0.9,RU,1675565050
507,barcelona,41.3888,2.159,13.08,51,0,4.12,ES,1675564843
508,mangochi,-14.4782,35.2645,21.41,91,73,0.97,MW,1675565051
509,kamaishi,39.2667,141.8833,2.95,52,73,4.13,JP,1675565053
510,bilma,18.6853,12.9164,19.64,19,81,1.25,NE,1675565056
511,boke,10.9409,-14.2967,20.52,84,18,0.2,GN,1675565056
512,tiksi,71.6872,128.8694,-31.51,100,100,1.11,RU,1675565057
513,topeka,39.0483,-95.678,7.84,68,0,2.57,US,1675564854
514,tuatapere,-46.1333,167.6833,18.64,90,97,1.91,NZ,1675565060
515,maudaha,25.6833,80.1167,16.87,44,0,2.1,IN,1675565061
516,paranaiba,-19.6772,-51.1908,22.01,93,100,1.82,BR,1675565062
517,pathein,16.7833,94.7333,28.83,38,8,3.8,MM,1675565063
518,oudtshoorn,-33.5907,22.2014,19.2,68,0,1.59,ZA,1675565064
519,sayville,40.7359,-73.0821,-1.67,58,75,7.2,US,1675565068
520,alice,27.7523,-98.0697,14.73,72,0,4.12,US,1675565069
521,tiarei,-17.5333,-149.3333,30.01,78,84,6.19,PF,1675564856
522,soto la marina,23.7667,-98.2167,14.5,95,74,2.13,MX,1675565070
523,bereda,43.2686,-7.5406,3.41,100,85,3.17,ES,1675565053
524,aykhal,66.0,111.5,-36.95,100,34,0.62,RU,1675565071
525,asyut,27.181,31.1837,7.1,47,72,2.13,EG,1675565072
526,foki,56.693,54.3499,-14.4,95,100,0.82,RU,1675565072
527,mahebourg,-20.4081,57.7,26.16,83,40,2.06,MU,1675565073
528,sao joao da barra,-21.6403,-41.0511,24.81,92,1,4.37,BR,1675565074
529,bari,41.1177,16.8512,7.19,51,0,12.96,IT,1675565049
530,sao jose da coroa grande,-8.8978,-35.1478,25.35,84,27,2.66,BR,1675564996
531,akureyri,65.6835,-18.0878,1.96,64,20,8.75,IS,1675565074
532,numan,9.4667,12.0333,23.72,17,100,0.61,NG,1675565075
533,girne,35.3417,33.3167,7.75,89,98,3.41,CY,1675565076
534,corsicana,32.0954,-96.4689,11.54,75,0,3.09,US,1675565076
535,oranjestad,12.524,-70.027,26.06,84,27,4.02,AW,1675564889
536,leshukonskoye,64.8989,45.7622,-26.19,100,100,1.44,RU,1675565077
537,necochea,-38.5473,-58.7368,14.49,86,0,4.41,AR,1675565077
538,maxixe,-23.8597,35.3472,23.27,88,29,2.84,MZ,1675565078
539,thinadhoo,0.5333,72.9333,26.4,70,21,4.4,MV,1675565078
540,aguimes,27.9054,-15.4461,13.35,67,20,4.63,ES,1675565079
541,sokoni,-6.4333,39.55,26.99,78,65,4.19,TZ,1675565079
542,neosho,36.869,-94.368,8.68,70,63,1.79,US,1675565041
543,moses lake,47.1301,-119.2781,4.93,75,100,3.6,US,1675564953
544,kapit,2.0167,112.9333,31.0,61,87,0.71,MY,1675565080
545,castelo do piaui,-5.3222,-41.5525,23.2,51,16,1.01,BR,1675565081
546,superior,46.7208,-92.1041,-7.74,73,0,3.6,US,1675565081
547,cervo,43.6702,-7.4101,9.81,79,97,8.97,ES,1675565082
548,havre,49.5833,0.3333,7.87,93,100,1.54,FR,1675565082
549,lodja,-3.4833,23.4333,19.08,95,99,1.07,CD,1675565083
550,hornepayne,49.2138,-84.7705,-12.35,97,100,1.64,CA,1675565000
551,teahupoo,-17.8333,-149.2667,26.98,78,84,6.0,PF,1675565084
552,tairua,-37.0167,175.85,22.21,68,60,4.61,NZ,1675565084
553,bairiki,1.3292,172.9752,29.0,74,75,5.14,KI,1675565085
554,gladstone,-23.85,151.25,30.96,66,77,6.17,AU,1675565086
555,puerto leguizamo,-0.1934,-74.7819,22.31,92,91,1.42,CO,1675565086
556,san jose,37.3394,-121.895,15.43,78,75,7.2,US,1675564383
557,maragogi,-9.0122,-35.2225,25.17,85,31,2.55,BR,1675565087
558,ouidah,6.3631,2.0851,26.34,87,55,4.3,BJ,1675565087
559,baghdad,33.3406,44.4009,5.95,75,0,1.54,IQ,1675565039
560,inhambane,-23.865,35.3833,23.93,85,38,3.3,MZ,1675565088
561,dumas,35.8656,-101.9732,9.08,21,0,4.63,US,1675565089
562,najran,17.4924,44.1277,13.36,59,19,0.9,SA,1675565064
563,ovruch,51.3246,28.8035,-6.53,91,96,4.59,UA,1675565089
564,wanning,18.8003,110.3967,24.06,81,99,2.6,CN,1675565090
565,atasu,48.6814,71.6433,-13.66,97,95,1.85,KZ,1675565090
566,saint-augustin,51.226,-58.6502,-11.81,66,95,13.54,CA,1675565091
567,synya,65.3718,58.0387,-14.01,97,98,2.05,RU,1675565091
568,cap malheureux,-19.9842,57.6142,25.26,85,95,5.32,MU,1675565092
569,svetlaya,46.5389,138.3297,-7.78,45,100,2.53,RU,1675565092
570,enshi,30.3,109.4833,8.58,83,100,0.25,CN,1675564802
571,yulara,-25.2406,130.9889,28.13,16,0,5.04,AU,1675564852
572,ostersund,63.1792,14.6357,-7.44,92,100,3.58,SE,1675565093
573,orange cove,36.6244,-119.3137,16.81,65,100,3.09,US,1675565093
574,kamloops,50.6665,-120.3192,3.65,80,75,5.14,CA,1675565009
575,dzilam gonzalez,21.2833,-88.9333,21.53,79,17,3.08,MX,1675565094
576,katangli,51.7102,143.2326,-16.39,82,32,4.67,RU,1675565095
577,tungor,53.3808,142.9564,-21.11,91,50,5.0,RU,1675565095
578,yumen,40.2833,97.2,-2.13,34,100,8.83,CN,1675565096
579,griffith,41.5284,-87.4237,4.06,68,0,6.69,US,1675565096
580,pemangkat,1.1667,108.9667,27.04,75,100,0.66,ID,1675565097
